e	k	t
0	6	1.3400000000000007
1	6	14.33000000000002
2	6	154.65
3	6	979.0599999999997
0	7	2.819999999999997
1	7	61.589999999999996
2	7	878.25
3	7	6742.81
0	8	4.839999999999996
1	8	149.35999999999999
2	8	2885.7900000000004
3	8	30167.5
0	9	5.519999999999993
1	9	218.46000000000004
2	9	5914.640000000001
3	9	77259.88
0	10	7.12
1	10	314.00000000000006
2	10	8392.389999999996
3	10	128699.05000000005
0	11	7.339999999999999
1	11	340.36000000000007
2	11	9532.010000000004
3	11	140048.05999999997
0	12	6.349999999999999
1	12	308.90999999999985
2	12	10193.909999999996
3	12	155730.83000000005
