name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABReal_70_1_15,70,1,15,91,378,485,11,0,0,0,645,4111,9221,12726,2525,10,0,7648,45804,132529,203575,50854,5367,102,56148,758253,2653270,4679505,950666,82211,2827,199049,3430087,23126519,95882545,27440011,2022259,41211,642292,11771663,92733977,550719902,247887927,41268857,1658243,831395,26980566,379861936,2253142003,1062745407,224853889,11608500,
ABReal_70_1_70,70,1,70,88,376,485,11,0,0,0,632,3978,9011,12719,2525,10,0,7441,44725,129341,197192,50110,5365,102,53545,744627,2612471,4592263,925558,79622,2794,85789,2218210,22070494,94256490,27110873,1986673,39996,76164,2573125,38146073,333930855,236400261,40535777,1642302,65543,2360766,41337414,436330383,421987938,132209274,11035212,
ABReal_70_1_95,70,1,95,86,374,458,11,0,0,0,547,3661,8815,12565,2318,10,0,5564,37753,115971,183093,48939,5182,102,24826,571626,2124705,4002494,820445,74004,2718,24219,701369,9536071,69314543,22675912,1751688,34431,18851,656620,10258338,99597267,96519756,29162779,1415475,15399,558531,9936119,107607454,110702368,39105338,4503358,
ABReal_70_5_15,70,5,15,91,378,485,11,0,0,0,645,4111,9221,12726,2525,10,0,4701,42242,132529,203575,50854,5367,102,16893,223787,1231119,3962823,950666,82211,2827,46795,624801,5864024,24210507,10699122,1645233,41211,21819,1171876,18805427,79173732,56442204,9981969,579473,5606,322884,9864423,172738491,198617175,31427641,2571963,
ABReal_70_5_70,70,5,70,88,376,485,11,0,0,0,632,3978,9011,12719,2525,10,0,4414,41107,129341,197192,50110,5365,102,5374,167895,1161522,3869369,925558,79622,2794,1429,66107,1594445,17371622,10103192,1606723,39996,480,20374,437952,6899581,13359716,6872083,547757,274,10490,206711,2640986,3891724,2456844,573965,
ABReal_70_5_95,70,5,95,86,374,458,11,0,0,0,547,3661,8815,12565,2318,10,0,1912,33372,115971,183093,48939,5182,102,516,22944,456309,3118859,820445,74004,2718,167,6304,128168,1806120,3457132,1284961,34431,87,3238,56991,676918,1026623,679676,164886,62,2206,40374,459892,533849,240575,43860,
ABReal_70_10_15,70,10,15,91,378,485,11,0,0,0,645,4111,9221,12726,2525,10,0,3399,32958,132529,203575,50854,5367,102,7671,151687,798276,2581027,950666,82211,2827,13352,398204,2279136,15120393,6347652,985320,41211,2670,167043,4405896,48516189,19227832,6092053,315601,703,36449,1046307,20391576,39731808,18200585,841740,
ABReal_70_10_70,70,10,70,88,376,485,11,0,0,0,632,3978,9011,12719,2525,10,0,2944,31640,129341,197192,50110,5365,102,941,46475,688473,2466621,925558,79622,2794,202,8820,214533,3571136,5350830,937222,39996,78,3078,58390,790903,1577436,1272328,256088,36,1374,26450,326006,444657,252527,64327,
ABReal_70_10_95,70,10,95,86,374,458,11,0,0,0,547,3661,8815,12565,2318,10,0,412,15131,115971,183093,48939,5182,102,71,2955,64296,961072,820445,74004,2718,27,947,16306,190298,388773,336461,34431,10,416,7537,83789,109543,61064,17090,3,121,2324,28312,39657,20037,3544,
ABReal_70_15_15,70,15,15,91,378,485,11,0,0,0,622,4111,9221,12726,2525,10,0,2682,24790,115643,203575,50854,5367,102,5369,97345,575733,1790058,786305,82211,2827,4683,200448,1502606,8309033,4395212,668184,35350,939,52742,1420511,20716343,12548612,3069772,218970,262,12911,341499,6123008,12038029,7051710,565658,
