name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFRandom_70_5_15,70,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2069,0,0,0,0,0,368,23399,46567,248314,0,0,0,10098,103842,137385,3043058,442732,90970,0,978,124140,4730961,17078731,1450404,1297156,27810,111,9694,564202,23546207,56209940,7273446,70115,
AFRandom_70_5_70,70,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2069,0,0,0,0,0,354,23399,46567,248314,0,0,0,5,1196,131269,3043058,442732,90970,0,0,19,2015,174702,1390206,1297156,27810,0,0,90,5175,24825,72075,67003,
AFRandom_70_5_95,70,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2069,0,0,0,0,0,0,119,21006,248314,0,0,0,0,0,34,16464,197378,90970,0,0,0,0,4,311,5438,16111,0,0,0,0,0,2,19,
AFRandom_70_10_15,70,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,0,0,0,0,0,22,2123,6608,9503,0,0,0,877,32757,12122,225796,66285,4192,0,64,8308,476330,5615059,123368,109184,4076,17,1111,46290,1607764,5575698,2091563,4908,
AFRandom_70_10_70,70,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,0,0,0,0,0,8,2123,6608,9503,0,0,0,0,30,5989,225796,66285,4192,0,0,1,53,5768,62993,109184,4076,0,0,2,119,738,2147,1785,
AFRandom_70_10_95,70,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,11,1008,9503,0,0,0,0,0,0,478,9487,4192,0,0,0,0,0,0,311,59,0,0,0,0,0,0,0,
AFRandom_70_15_15,70,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,15,136,1294,621,0,0,0,171,6879,6479,16372,13293,295,0,30,2401,87069,1085337,64148,7075,681,11,612,19051,448829,1030066,423441,3424,
AFRandom_70_15_70,70,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,136,1294,621,0,0,0,0,0,317,16372,13293,295,0,0,0,0,83,3451,7075,681,0,0,0,0,1,49,287,
AFRandom_70_15_95,70,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,42,621,0,0,0,0,0,0,6,324,295,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,
AFRandom_70_20_15,70,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14,18,398,84,0,0,0,36,3066,6169,1906,4020,39,0,1,327,23405,467640,60947,708,212,0,0,479,59035,280544,191477,3155,
AFRandom_70_20_70,70,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,18,398,84,0,0,0,0,0,17,1906,4020,39,0,0,0,0,4,233,708,212,0,0,0,0,0,0,17,
AFRandom_70_20_95,70,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,84,0,0,0,0,0,0,1,36,39,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,
AFRandom_70_500_15,70,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFRandom_70_500_70,70,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFRandom_70_500_95,70,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFRandom_90_1_15,90,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367,139,0,0,0,0,0,24572,356674,1461015,37590,0,0,0,101604,388598,10772575,48936430,14495199,22,0,207317,8729172,54324801,62181515,115725957,21726138,871815,65762,4294126,127283518,1640839239,653975833,25510881,5628371,
AFRandom_90_1_70,90,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367,139,0,0,0,0,0,24572,356674,1461015,37590,0,0,0,4338,388026,10772575,48936430,14495199,22,0,308,37896,2054003,62095077,115725957,21726138,871815,24,2881,179767,6882262,24182039,25474773,5628371,
AFRandom_90_1_95,90,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367,139,0,0,0,0,0,457,59757,1461015,37590,0,0,0,10,2070,191114,7485664,14495199,22,0,0,35,4588,317973,2066205,3268690,871815,0,2,152,8997,59410,137009,103079,
AFRandom_90_5_15,90,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,72,781,775,241,0,0,0,817,1224,22996,107503,7485,22,0,675,42156,455158,183870,238648,52114,552,111,9283,390218,8014834,5449931,78336,14816,
AFRandom_90_5_70,90,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,72,781,775,241,0,0,0,5,603,22996,107503,7485,22,0,0,19,1899,91131,238648,52114,552,0,0,90,5175,23617,39540,14816,
