name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABRandom_70_5_70,70,5,70,5,293,26,6,610,0,0,0,0,234,15943,285,11,23,0,0,0,7,1321,6571,1,0,0,0,0,0,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_5_95,70,5,95,0,0,0,6,610,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_10_15,70,10,15,0,20,26,0,24,0,0,0,0,1,462,191,0,2,25,1512,11,0,1,224,1,0,63,5001,165473,271,0,0,0,15,491,8152,42148,67164,14,0,3,125,2387,4585,3352,2263,0,1,47,1009,1923,1204,245,
ABRandom_70_10_70,70,10,70,0,20,26,0,24,0,0,0,0,1,462,191,0,2,0,0,0,0,1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_10_95,70,10,95,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_15_15,70,15,15,0,0,3,0,0,0,0,0,0,0,6,19,0,0,3,181,11,0,0,3,0,0,10,413,13095,271,0,0,0,2,82,1560,4515,6309,14,0,0,6,203,547,675,238,0,0,2,71,163,123,33,
ABRandom_70_15_70,70,15,70,0,0,3,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_15_95,70,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABRandom_70_20_15,70,20,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,11,0,0,0,0,0,0,50,2500,268,0,0,0,0,0,28,549,1256,14,0,0,0,0,0,2,29,0,0,0,0,0,0,0,
ABRandom_70_20_70,70,20,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
