e	k	m
0	6	2725.0
1	6	64810.47999999998
2	6	522995.54
3	6	2.22E+006
0	7	5660.5999999999985
1	7	218041.26000000004
2	7	2779939.9000000004
3	7	1.59E+007
0	8	7296.84
1	8	363391.48
2	8	7226364.010000001
3	8	6.97E+007
0	9	8056.760000000002
1	9	446220.48000000004
2	9	1.1111291009999998E7
3	9	1.59E+008
0	10	8439.579999999996
1	10	488425.02
2	10	1.3403307950000001E7
3	10	2.34E+008
0	11	8674.820000000002
1	11	512862.93
2	11	1.4704609440000001E7
0	12	8845.050000000001
1	12	530004.54
2	12	1.5565018449999997E7
