id	e	k	m	t
88	3	9	33681913	17034.0
89	3	9	54318555	25713.0
90	3	9	33115451	16449.0
91	3	9	29447921	15231.0
92	3	9	33052748	16970.0
93	3	9	26999325	13097.0
94	3	9	33456211	17007.0
95	3	9	15794066	9035.0
96	3	9	32739846	16934.0
97	3	9	31128855	15714.0
98	3	9	34568417	17537.0
99	3	9	40039599	19885.0
0	3	10	41449774	23573.0
1	3	10	43396913	24865.0
2	3	10	40199802	23475.0
3	3	10	43430170	26034.0
4	3	10	47158942	27678.0
5	3	10	26647530	14522.0
6	3	10	46089765	26711.0
7	3	10	37965948	22012.0
8	3	10	47096989	26538.0
9	3	10	26827830	16149.0
10	3	10	60728021	34399.0
11	3	10	57990402	33603.0
12	3	10	20173037	12758.0
13	3	10	36860028	22399.0
14	3	10	50787900	30256.0
15	3	10	54375838	29246.0
16	3	10	56912249	32510.0
17	3	10	54112778	30860.0
18	3	10	49048348	26804.0
19	3	10	77410849	44624.0
20	3	10	7742831	3927.0
21	3	10	9786589	5197.0
22	3	10	31717059	19152.0
23	3	10	43359326	25529.0
24	3	10	46165352	26670.0
25	3	10	45305604	26698.0
26	3	10	28756824	17028.0
27	3	10	8268367	5144.0
28	3	10	46880077	26829.0
29	3	10	36809997	21969.0
30	3	10	45637643	26483.0
31	3	10	30712779	17434.0
32	3	10	43851179	25946.0
33	3	10	32148380	18932.0
34	3	10	44410674	26497.0
35	3	10	34216610	20767.0
36	3	10	48814015	28262.0
37	3	10	40893646	22595.0
38	3	10	66753780	38160.0
39	3	10	43222843	25174.0
40	3	10	41947350	24386.0
41	3	10	46035901	27766.0
42	3	10	68623687	35888.0
43	3	10	55340785	33132.0
44	3	10	42419291	25099.0
45	3	10	53417307	32761.0
46	3	10	46382881	27701.0
47	3	10	52663831	27885.0
48	3	10	21321866	13186.0
49	3	10	12552518	6848.0
50	3	10	63982976	33280.0
51	3	10	23815021	14175.0
52	3	10	61330039	32237.0
53	3	10	32128079	19487.0
54	3	10	37372438	22082.0
55	3	10	92956611	52349.0
56	3	10	44006120	25282.0
57	3	10	46002282	26854.0
58	3	10	38312696	21298.0
59	3	10	42473014	25113.0
60	3	10	41158744	23266.0
61	3	10	49906933	29697.0
62	3	10	44540192	26228.0
63	3	10	48480913	26857.0
64	3	10	63834113	36303.0
65	3	10	60024037	32873.0
66	3	10	44100580	25210.0
67	3	10	48444058	27343.0
68	3	10	59328510	32531.0
69	3	10	59982806	33983.0
70	3	10	47324483	28066.0
71	3	10	39343370	24055.0
72	3	10	42975206	25712.0
73	3	10	50126066	26801.0
74	3	10	36611050	21736.0
75	3	10	15298645	9803.0
76	3	10	45896040	27314.0
77	3	10	33343023	20094.0
78	3	10	40093022	23662.0
79	3	10	43751504	26108.0
